order_id,product,category,price,quantity,discount_pct,order_date,region,payment,rating,revenue,returned
1001,Laptop,Clothing,84.4,10,21.4,2023-07-25,East,PAYPAL,5.0,663.38,False
1002,Camera,Electronics,496.56,1,28.8,2022-02-12,South,Credit Card,4.0,353.55,False
1003,Monitor,Books,23.57,20,29.3,2022-11-11,West,PayPal,4.0,333.28,False
1004,Camera,Electronics,462.5,1,7.3,2024-02-01,North,PayPal,2.0,428.74,False
1005,Keyboard,Clothing,110.41,6,24.0,2024-06-16,West,PayPal,5.0,503.47,False
1006,Laptop,Electronics,635.83,1,11.5,2024-07-13,East,credit card,3.0,,False
1007,Other,Electronics,387.78,5,29.9,2024-03-25,South,Credit Card,3.0,1359.17,False
1008,Monitor,Sports,173.34,7,6.1,2023-07-24,North,Cash,4.0,1139.36,False
1009,Keyboard,Sports,122.79,6,16.3,2023-06-16,West,Cash,5.0,616.65,False
1010,Laptop,Books,16.19,20,0.7,2023-12-15,North,PAYPAL,3.0,321.53,False
1011,Camera,Electronics,248.74,4,18.8,2022-03-29,West,PayPal,4.0,807.91,False
1012,Monitor,Sports,113.4,8,28.2,2023-07-15,East,PAYPAL,3.0,651.37,False
1013,Headphones,Home,319.41,4,21.7,2023-04-01,South,Cash,4.0,1000.39,False
1014,Other,Clothing,90.33,8,18.2,2022-02-08,South,Cash,4.0,591.12,False
1015,Keyboard,Clothing,64.91,14,18.2,2023-04-08,West,Cash,4.0,743.35,False
1016,Headphones,Electronics,298.01,4,18.9,2024-09-18,South,Credit Card,4.0,966.74,False
1017,Keyboard,Home,135.79,7,23.0,2024-01-02,West,PAYPAL,5.0,731.91,False
1018,Headphones,Clothing,184.78,7,15.3,2022-02-25,East,Credit Card,4.0,1095.56,False
1019,Other,Home,192.29,4,12.9,2024-05-02,North,PayPal,4.0,669.94,False
1020,Other,Clothing,54.39,11,12.3,2023-02-04,West,credit card,4.0,524.7,False
1021,Laptop,Electronics,563.82,1,4.9,2022-04-10,North,credit card,5.0,536.19,False
1022,Headphones,Clothing,98.21,11,14.7,2022-07-28,East,PAYPAL,4.0,921.5,False
1023,Phone,Clothing,42.17,20,9.9,2023-05-23,South,Cash,5.0,759.9,False
1024,Monitor,Food,15.54,20,7.1,2023-11-20,West,credit card,5.0,288.73,False
1025,Headphones,Food,26.14,20,22.4,2022-06-26,West,Cash,4.0,405.69,False
1026,Laptop,Food,24.11,20,8.6,2024-12-30,North,Cash,5.0,440.73,False
1027,Monitor,Books,18.62,20,29.7,2023-12-27,East,PayPal,5.0,261.8,False
1028,Camera,Electronics,687.71,1,6.7,2022-12-24,North,PayPal,4.0,641.63,False
1029,Laptop,Food,12.34,20,3.5,2024-04-29,South,credit card,4.0,238.16,False
1030,Monitor,Food,30.15,20,16.0,2023-09-27,North,Credit Card,5.0,,False
1031,Tablet,Food,32.25,20,8.6,2023-09-05,North,PAYPAL,5.0,589.53,False
1032,Headphones,Sports,118.33,8,12.3,2022-11-14,North,Credit Card,5.0,830.2,False
1033,Other,Clothing,96.59,12,2.5,2022-01-29,South,PayPal,3.0,1130.1,False
1034,Other,Electronics,422.19,1,17.6,2022-07-30,North,Credit Card,3.0,347.88,False
1035,Other,Books,41.81,20,4.0,2023-09-08,North,Credit Card,5.0,802.75,False
1036,Laptop,Electronics,577.59,1,26.5,2023-09-06,North,Credit Card,,424.53,False
1037,Headphones,Food,52.31,20,14.5,2024-07-11,West,Credit Card,4.0,894.5,False
1038,Tablet,Clothing,40.35,20,5.1,2024-07-08,East,Credit Card,3.0,765.84,False
1039,Laptop,Home,171.09,3,17.0,2022-01-01,North,PAYPAL,4.0,426.01,False
1040,Laptop,Books,,20,7.4,2023-04-13,West,PayPal,5.0,550.6,True
1041,Tablet,Sports,217.79,5,9.5,2022-06-13,East,credit card,4.0,985.5,False
